evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_1,43.42,63.42,20,Peak horizontal velocity,0.712375135,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,43.42,63.42,20,RMS horizontal velocity,0.253858105,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,43.42,63.42,20,Peak absolute X velocity,0.412795426,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_1,43.42,63.42,20,Peak absolute Y velocity,0.693477557,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_1,43.42,63.42,20,Maximum absolute pitch rate,2.19031974,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,43.42,63.42,20,P99 absolute pitch rate,1.22945375,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,43.42,63.42,20,P99 absolute yaw rate,164.665735,degrees/s,1719,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_1,43.42,63.42,20,Minimum roll angle,-1.96849999,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,43.42,63.42,20,Maximum roll angle,8.5296483,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,43.42,63.42,20,Peak absolute roll angle,8.5296483,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,43.42,63.42,20,Minimum relative pitch angle,-6.2733893,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,43.42,63.42,20,Maximum relative pitch angle,2.93877744,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,43.42,63.42,20,Maximum absolute pitch angle,6.56081082,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_1,43.42,63.42,20,Maximum absolute yaw excursion,3.4778976,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_1,43.42,63.42,20,Yaw range,4.67068377,degrees,2401,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_1,43.42,63.42,20,Median horizontal velocity,0.12453758,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,43.42,63.42,20,P95 horizontal velocity,0.52245298,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,43.42,63.42,20,Percentage of time with horizontal velocity below 0.1 m/s,39.5833333,%,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,39.91,59.91,20,Peak horizontal velocity,0.668809754,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,39.91,59.91,20,RMS horizontal velocity,0.292108697,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
