evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,41.07,61.07,20,Peak horizontal velocity,5.3141125,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.07,61.07,20,RMS horizontal velocity,2.44028438,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.07,61.07,20,Peak absolute X velocity,0.816285046,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,41.07,61.07,20,Peak absolute Y velocity,5.30274694,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,41.07,61.07,20,Maximum absolute pitch rate,3.68708572,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.07,61.07,20,P99 absolute pitch rate,2.49911037,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.07,61.07,20,Minimum roll angle,-3.89818683,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.07,61.07,20,Maximum roll angle,6.16023759,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.07,61.07,20,Peak absolute roll angle,6.16023759,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.07,61.07,20,Minimum relative pitch angle,-36.3363786,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.07,61.07,20,Maximum relative pitch angle,35.8622278,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.07,61.07,20,Maximum absolute pitch angle,36.471504,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_1,41.07,61.07,20,Maximum absolute yaw excursion,3.32957609,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_1,41.07,61.07,20,Yaw range,4.78278919,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_2,39.1,59.1,20,Peak horizontal velocity,5.33423201,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
