duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Peak horizontal velocity,0.7937462706987298,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,RMS horizontal velocity,0.36495050730999173,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Peak absolute X velocity,0.6467382056135662,m/s,2396,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Peak absolute Y velocity,0.5521314135184463,m/s,2396,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Maximum absolute pitch rate,1.8976109564394847,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,P99 absolute pitch rate,1.3004923837745206,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Minimum roll angle,-2.180480973087788,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Maximum roll angle,6.94458531752135,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Peak absolute roll angle,6.94458531752135,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-01-24.bag,raw_flight_1,44.32,64.32,19.999999999999993,Minimum relative pitch angle,-3.2920091491564625,degrees,2398,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
