evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,34.43,54.43,20,Peak horizontal velocity,1.85417236,m/s,2391,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,34.43,54.43,20,RMS horizontal velocity,0.918303774,m/s,2391,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,34.43,54.43,20,Peak absolute X velocity,0.856301484,m/s,2391,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,34.43,54.43,20,Peak absolute Y velocity,1.85362743,m/s,2391,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,34.43,54.43,20,Maximum absolute pitch rate,1.78559254,rad/s,1990,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,34.43,54.43,20,P99 absolute pitch rate,1.17509612,rad/s,1990,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,34.43,54.43,20,Minimum roll angle,-4.30258591,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,34.43,54.43,20,Maximum roll angle,5.13352274,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,34.43,54.43,20,Peak absolute roll angle,5.13352274,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,34.43,54.43,20,Minimum relative pitch angle,-15.7334337,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,34.43,54.43,20,Maximum relative pitch angle,10.363315,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
